name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
PNY XLR8 8 GB,,"4,3600","1,8",,Black,10.0,18.0,DDR4,3600,1,8,8
ADATA XPG SPECTRIX D50 16 GB,,"4,3600","1,16",,White,10.0,18.0,DDR4,3600,1,16,16
G.Skill Ripjaws 4 8 GB,,"4,3200","1,8",,Black,10.0,16.0,DDR4,3200,1,8,8
Acer UD100 8 GB,,"4,2666","1,8",,Black,14.254,19.0,DDR4,2666,1,8,8
Corsair Vengeance RGB RT 16 GB,,"4,3200","2,8",,Black,10.0,16.0,DDR4,3200,2,8,16
G.Skill Trident Z5 RGB Splave Edition 32 GB,,"5,6400","2,16",,Black,10.0,32.0,DDR5,6400,2,16,32
Corsair Vengeance RGB 64 GB,,"5,5600","2,32",,Black / Gray,14.286,40.0,DDR5,5600,2,32,64
OLOy Blade RGB 32 GB,,"5,7200","2,16",,Black,8.889,32.0,DDR5,7200,2,16,32
TEAMGROUP Elite 16 GB,,"5,5200","1,16",,Black,16.154,42.0,DDR5,5200,1,16,16
Klevv CRAS V RGB 32 GB,,"5,7600","2,16",,Black,9.474,36.0,DDR5,7600,2,16,32
ADATA XPG LANCER RGB 32 GB,,"5,6000","1,32",,Black,10.0,30.0,DDR5,6000,1,32,32
Mushkin Redline Lumina White 64 GB,,"5,6400","2,32",,White,9.375,30.0,DDR5,6400,2,32,64
ADATA XPG SPECTRIX D35G RGB 8 GB,,"4,3600","1,8",,Black,10.0,18.0,DDR4,3600,1,8,8
TEAMGROUP T-Force Delta RGB 16 GB,,"5,6000","1,16",,Black,12.667,38.0,DDR5,6000,1,16,16
TEAMGROUP T-Force Delta RGB 16 GB,,"5,5200","1,16",,White,15.385,40.0,DDR5,5200,1,16,16
TEAMGROUP Xtreem ARGB 64 GB,,"5,6400","2,32",,White,10.625,34.0,DDR5,6400,2,32,64
Klevv Urbane V RGB 48 GB,,"5,6000","2,24",,White,10.0,30.0,DDR5,6000,2,24,48
Acer Predator Hera RGB 32 GB,,"5,8000","2,16",,Black,9.0,36.0,DDR5,8000,2,16,32
Lexar Ares RGB 2nd Gen 32 GB,,"5,7600","2,16",,Black,9.474,36.0,DDR5,7600,2,16,32
G.Skill Ripjaws 64 GB,148.99,"4,3200","2,32",2.32796875,Blue / Black,13.75,22.0,DDR4,3200,2,32,64
Kingston FURY Impact 64 GB,229.99,"4,3200","2,32",3.59359375,Black,12.5,20.0,DDR4,3200,2,32,64
TEAMGROUP T-Create Classic 32 GB,80.98,"5,5600","2,16",2.530625,Black,16.429,46.0,DDR5,5600,2,16,32
